name	Pvalue	MaintainingScore
AAAS	2.5	0.68848406153702
AARS2	0	-28.7412647201992
ABCE1	2.5	0.297220245474392
ABCF1	2.5	0.329110609206541
ACACA	0	6.04719648593903
ACACB	2.5	0
ACSF2	0	3.76950728338583
ACTR5	2.5	0.49538615100106
ACTR8	2.5	0.954847753323659
ADNP	2.5	0.35775341497589
AGO2	2.5	0.575787761455802
AHCTF1	2.5	0.574108222627043
ALDH18A1	0.283996656365201	0.96881286701335
ANAPC1	2.5	0.786323813851118
ANAPC2	2.5	0.938066988247074
ANAPC4	2.5	0.964423977001632
ANAPC5	2.5	0.923464051348439
ANAPC7	2.5	0.886471578229757
ANKRD17	2.5	0.168396950313185
ANLN	2.5	0.396932423138053
AP2A1	2.5	0.460685214145681
AP2A2	2.5	0.422393409035734
AQR	2.5	0.554262077372199
ARCN1	2.5	0.734944358587997
ARID1A	2.5	0.664879417389218
ARIH1	2.5	0.530306380483932
ATL2	2.5	0.941470700989637
ATP1A1	2.5	0.703536293235856
ATP2A2	2.5	0.249534331437178
ATRX	2.5	0.52673950286884
BAZ1B	0.301029995663981	-0.0467973814291099
BAZ2A	2.5	0.0184359612574243
BCLAF1	2.5	1.24696382116261
BEND3	2.5	0.945681269568763
BIRC6	2.5	1.20438251067371
BLM	2.5	0.437277097326843
BOP1	2.5	0.348202967690326
BRD3	2.5	0.434985932775939
BRD4	2.5	0.482118912867511
CAD	2.5	0.379972406099866
CDC16	2.5	0.675724880605256
CDC23	2.5	0.7603821132417
CDC27	2.5	0.743029873530243
CDC73	2.5	0.476172744201612
CDK11B	2.5	0.840964132983859
CEBPZ	2.5	0.32170214772833
CELF1	2.5	0.184404489144379
CHAMP1	2.5	0.686278185272097
CHD1	2.5	0.682149883884423
CHD4	2.5	0.281688016953608
CLPX	0	2.25791225529296
CLUH	2.5	0.0645624967193604
CNOT1	2.5	0.248769935009743
COPA	2.5	0.630088096604612
COPB1	2.5	0.932151980516633
COPB2	2.5	0.672417730371068
COPG1	2.5	0.82543099129568
COPG2	2.5	0.894313932522749
CORO1C	2.5	0.336210111437538
CPSF1	2.5	0.588638817203597
CPSF3	2.5	0.681347367364757
CRNKL1	2.5	0.546111748787362
CSTF3	2.5	0.814163584143471
CTCF	2.5	0.42417040549767
CTNNB1	2.5	0.664903004022433
CTR9	2.5	0.176792238879018
CUL1	2.5	0.406315901115164
CUL2	2.5	0.37981047415144
CYFIP1	2.5	0.2813614591304
D1PAS1	2.5	0.959274689550084
DARS1	2.5	0.244361375928049
DCAF1	2.5	0.70004721498683
DCAF13	2.5	0.0813490548345273
DDB1	2.5	0.335535588625162
DDX10	2.5	0.222129199118033
DDX18	2.5	0.138772034476522
DDX19A	2.5	0.424086367869996
DDX20	2.5	0.444158525457501
DDX21	0	0.130932529357501
DDX24	2.5	0.265206093690887
DDX27	2.5	0.0561888045626644
DDX31	2.5	0.430242177367661
DDX3Y	2.5	0.954614406998226
DDX41	2.5	0.478804932411579
DDX42	2.5	0.289207562670004
DDX46	2.5	0.377987652458758
DDX47	2.5	-0.116775605182234
DDX49	2.5	0.527570668824163
DDX50	2.5	0.367429483816191
DDX51	2.5	0.25169066005702
DDX52	2.5	0.448181348222796
DDX54	2.5	0.470761698470155
DDX6	2.5	0.0202507765054771
DHX15	2.5	0.34870142773694
DHX29	2.5	0.426067333318392
DHX36	2.5	0.39482899504739
DHX8	2.5	0.722632235088458
DHX9	2.5	0.283218714583546
DIEXF	2.5	0.507246261905891
DIS3	2.5	0.291367557328562
DKC1	2.5	0.223405648650085
DNMT1	0.301029995663981	0.0990450383709813
DNMT3B	2.5	0.384545716354624
DNMT3C	2.5	1.08167362431061
DOCK6	2.5	0.962455006650127
DOCK7	2.5	0.636523448527198
EDC4	2.5	0.289672720879669
EEF1A1	2.5	0.43174003812717
EEF1A2	2.5	-0.367399739400439
EFTUD2	2.5	0.48374937857975
EHMT1	2.5	0.689195211135569
EIF2A	2.5	0.0346016337308551
EIF3B	2.5	0.230209019429683
EIF3D	2.5	0.269513008315032
EIF4G1	2.5	0.0860208379307848
EIF5B	2.5	0.345770007750527
ELP1	2.5	0.696487256116292
EXOSC10	2.5	0.255811894993119
EZH2	2.5	0.0904500079600893
FANCI	2.5	0.761366137431139
FASN	2.5	0.393289868069111
FMR1	2.5	0.0359884017279702
FN1	2.5	0.157394190579457
FUBP1	2.5	0.411564433682462
FXR1	2.5	0.210959600346364
FXR2	2.5	0.172553603011973
GART	2.5	0.29571779009334
GATAD2A	2.5	0.13901137725839
GCN1	2.5	0.461545993778374
GEMIN5	2.5	0.411385002386084
GFM1	0	18.6302361454257
GFM2	2.5	-0.346997389523973
GLDC	0	2.5247832900376
GLYR1	1.09691001300806	0.145504920369738
GNL2	2.5	0.209456391741208
GNL3	2.5	0.14780896571542
GTF2I	2.5	0.127875298844747
GTF3C1	2.5	0.223356775161253
GTF3C4	2.5	0.60213354415178
GTPBP4	2.5	0.118533795999046
H1_1	0	-1.18572488223388
H2BC1	2.5	1.05091822774028
H2BU1	2.5	0
HCFC1	2.5	0.478151600057782
HDAC1	2.5	0.574214793978635
HDAC2	2.5	0.415230152640332
HELLS	2.5	0.265611771893385
HNRNPLL	2.5	0.371723185253794
HNRNPU	2.5	-0.256702066560091
HNRNPUL2	2.5	0.454120651844019
HSD17B4	2.5	0.255289908822526
HSPG2	2.5	0.247341829906019
HTATSF1	2.5	0.916748168290386
HUWE1	2.5	0.438547763568874
IARS2	0	1.84892495723217
IGHG	2.5	0.915795833557264
IGHG1	1.52287874528034	1.17146510874867
IGH_3	2.5	0.755768078254983
IGKC	2.5	-0.254621371212406
IK	2.5	0.712988420817473
INCENP	0.00436480540245009	-54.8250405680327
INO80	2.5	0.617864352880166
INTS1	2.5	0.792752769996381
INTS4	2.5	0.912089529590892
INTS5	2.5	1.05079065102513
INTS7	2.5	0.76263389053715
JADE1	0.301029995663981	-0.0202175907641755
JARID2	2.5	0.147019580060763
KAT7	2.5	-0.0251650060682174
KDM1A	2.5	0.342620046295005
KDM2B	2.5	0.723391469684803
KDM5B	2.5	0.311314283666725
KHDRBS1	2.5	0.691154016135833
KIF11	2.5	0.715539885673642
KIF15	2.5	0.62573926447737
KIF20B	2.5	0.452595000500728
KIF22	2.5	0.206878109600717
KIF23	2.5	0.59571839571906
KIF2A	2.5	0.0996623534575847
KIF2C	2.5	0.204383116093181
KIF4	2.5	0.631798397413234
KMT2B	2.5	-1.34761273423556
KRT1	0	-4.22841367351456
KRT14	0	-2.34611937786303
KRT16	0	-2.20614410374292
KRT17	0	-1.30281073165143
KRT2	0	-3.13831211158473
KRT42	0	-2.42433320031338
KRT5	0	-2.75278783264065
KRT6A	0	-1.60205156813483
KRT75	2.5	17.7646716820596
KRT76	0	-1.4546946974972
KRT77	0	-1.75161812448898
KRT79	0	-1.89401926615587
KRT8	0	-0.959988622700685
LAS1L	2.5	0.398753112280695
LBR	0	-0.2137896068764
LIG3	2.5	0.279122676742476
LIMA1	2.5	0.619626765258726
LRWD1	2.5	0.23278309401808
MACF1	2.5	0.464424872838365
MACROH2A1	2	-0.0642176160013653
MAD1L1	2.5	0.473570246678589
MCCC1	0	2.65395279088172
MCCC2	0	-5.22242115810123
MCM3AP	2.5	0.485453100570679
MCM5	2.5	0.0314914519279865
MDC1	2.5	0.557962223320028
MGA	2.5	0.566773572640519
MKI67	2.5	0.0929483150534771
MORC3	2.5	0.367306543530533
MOV10	2.5	0.256362280721749
MPHOSPH8	2.5	0.557734108705621
MRE11	2.5	0.813777281454318
MSH6	2.5	0.289058126169976
MTA1	2.5	0.340238673746219
MTF2	2.5	0.25941952206954
MTHFD1L	0	1.50898987888285
MVP	0.301029995663981	-10.6732141800796
MYEF2	2.5	0.714614174624602
MYH10	2.5	0.632278867253056
MYH9	2.5	0.394157002282968
NACC1	2.5	0.461732746232412
NAT10	2.5	0.2598110866291
NDC1	2.5	0.649187866278194
NFRKB	2.5	0.466491487254833
NID2	2.5	0.892457286899455
